drug_name,lot_no,units,quantity, price,received_date,expiry_date,note,,,,,,
FERROUS FUMARATE  TAB.,L0,เม็ด,1780,0.82,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
FOLIC ACID 5 MG TAB.***,L0,เม็ด,1958,0.8,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
FRAMYCETIN GAUZE DRESSING (SOFRA TULLE),L0,แผ่น,0,15,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
GENTIAN VIOLET 1% SOLN.,L0,ขวด,41,7.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
GLUCOSE 50%  INJ. ,L0,Amp,4,20.55,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
GLYCERINE BORAX,L0,ขวด,0,12.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
GLYCERYL GUAIACOLATE 100 MG TAB,L0,เม็ด,0,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
GLYCERYL GUAIACOLATE 100 MG/5 ML SYR.,L0,ขวด,196,12.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
HPV GARDASIL9 สายพันธุ์ 1 dose/vial 0.5ML,L0,Amp,0,736.34,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
HYDROGEN PEROXIDE 20 % VOLUME SOLN. ,L0,ขวด,0,35.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
HYOSCINE 10 MG TAB.,L0,เม็ด,1690,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
HYOSCINE 10 MG/ML INJ. ,L0,Amp,0,6.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
HYOSCINE 5 MG/5 ML SYR.,L0,ขวด,27,7,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
IBUPROFEN 200 MG TAB.,L0,เม็ด,2940,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
IBUPROFEN SUSP. 100 MG/5 ML,L0,ขวด,0,14,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
INFlUENZA VACCINE (ไข้หวัดใหญ่) 15 mcg/0.5 mL,L0,Amp,0,66,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
IODINE POVIDONE 10% SOLN. ( 30 ml),L0,ขวด,0,10,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
IODINE POVIDONE 10% SOLN. ( 450 ml),L0,ขวด,4,189,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
IODINE POVIDONE 7.50% SCRUB ,L0,ขวด,1,189,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
IPRATROPIUM  Nebule 0.25 ML,L0,ขวด,0,110,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
IRON - Ferrokid (Syr) 60 ML 75 mg,L0,ขวด,0,35,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ISOSORBIDE DINITRATE 10 MG TAB.,L0,เม็ด,0,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ISOSORBIDE SUBLINGUAL 5 MG TAB.,L0,เม็ด,0,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
LEVODOPA+Carbidopa 25+100 MG TAB.,L0,เม็ด,0,3.75,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
LEVONORGESTREL (ยาเม็ดคุมกำเนิด) 0.15 + 0.03 MG TAB.,L0,แผง,133,40,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
LIDOCAINE 2% JELLY,L0,ขวด,0,114.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
LIDOCIANE 2% INJ. ,L0,ขวด,5,43.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
MEDROXYPROGESTERONE ACETATE 50 MG/ML INJ.(ยาคุมฉีด),L0,Amp,10,60,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
METHYLSALICYLATE 10.2% CREAM,L0,หลอด,30,11,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
MILK OF MAGNESIA 240ML SUSP. (ยาระบาย),L0,ขวด,6,27,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
MILK OF MAGNESIA 60ML SUSP. (ยาระบาย),L0,ขวด,8,17,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
MULTIVITAMIN 60 ML SYR. ,L0,ขวด,10,13,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
MULTIVITAMIN TAB.,L0,เม็ด,1795,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
NORFLOXACIN 200 MG TAB.***,L0,เม็ด,162,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
NORFLOXACIN 400 MG TAB.***,L0,เม็ด,0,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
NYSTATIN VAGINAL SUPPO. TAB.,L0,แท่ง,104,1.75,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
O.R.S. FOR CHILDREN 4.25 G (รสส้ม),L0,ซอง,185,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
OMEPRAZOLE 20 MG,L0,แคปซูล,0,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ORAL PASTE - TRIAMCINOLONE ACETONIDE 0.1% (ยาป้ายปาก) 1 G,L0,ซอง,45,6.3,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ORAL REHYDRATE SALT 6.975 G,L0,ซอง,0,3,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ORPHENADRINE+PARACETAMOL 35+450 MG TAB.,L0,เม็ด,270,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PARACETAMOL 120 MG/5 ML SYR. ,L0,ขวด,136,7.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PARACETAMOL 300 MG/2 ML INJ. ,L0,Amp,0,2.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PARACETAMOL 325 MG TAB.,L0,เม็ด,2170,1.25,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PARACETAMOL 500 MG TAB.,L0,เม็ด,8570,1.25,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PARACETAMOL Drops 60mg/10 ML.,L0,ขวด,27,11,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PARASAFE 81 G,L0,กระปุก,0,151,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PENICILLIN V 125 MG TAB.,L0,เม็ด,0,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PENICILLIN V 250 MG TAB.,L0,เม็ด,0,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PENICILLIN V ORAL 125 MG/5 ML SUSP. DRY.,L0,ขวด,33,11.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PfiZer (เด็ก 5-11 ปี) 10 doses/Vial,L0,Amp,0,498.73,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PfiZer (ฝาแดง) (เด็ก 6 เดือน - 4 ปี) 10 doses/Vial,L0,Amp,0,498.73,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
Pfizer-Biontech (ฝาม่วง) Vaccine 0.3 ml/dose,L0,Amp,0,498.73,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
POLIOMYELITIS VACCINE (IPV) 40 D antigen un,L0,Amp,0,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
POLY-OPH EYE DROP 5ml,L0,หลอด,45,14,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PRIORIX (MMR) 1000 tcid50/500,L0,Amp,0,220,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
PROPYLTHIOURACIL 50 MG TAB.,L0,เม็ด,0,0.52,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
ROXITROMYCIN 150 MG TAB.,L0,เม็ด,0,1.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SALBUTAMOL RESP. 0.5% SOLN.,L0,ขวด,6,2.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
Salicylic acid in TA cream 10G,L0,หลอด,0,6.25,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SCILL AMMON MIXTURE 180 ML,L0,ขวด,0,24,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SERTRALINE 50 mg,L0,เม็ด,0,3.75,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SILVER SULFADIAZINE CREAM***,L0,หลอด,0,32,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SIMETHICONE 80 MG TAB.,L0,เม็ด,690,1,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SIMETHICONE SUSP 60 mL,L0,ขวด,11,21.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SIMETHICONE SYR. Air-X  Drops,L0,ขวด,0,15,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SODIUM BICARBONATE 300 MG TAB.,L0,เม็ด,0,0.5,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
SODIUM BICARBONATE MIXT. 60 ML,L0,ขวด,0,8,2026-01-28,2030-01-31,นำเข้าคลังใหญ่,,,,,,
